area,location,city,road_width,amenities,distance_from_city,land_type,price
1161,bandra,mumbai,19,"mall,metro",17.113266539548324,residential,43227958.81
562,bandra,mumbai,41,"park,school",33.041187732092816,residential,26497663.36
1686,bandra,mumbai,40,"mall,metro",25.15070668879914,commercial,67939641.29
2272,bandra,mumbai,19,"school,hospital",18.748565678557583,residential,94722382.62
700,bandra,mumbai,47,"park,school",8.973697110994019,commercial,31974193.49
681,bandra,mumbai,38,"park,school",9.73240497071696,commercial,35294094.63
432,bandra,mumbai,50,"park,school",32.95268118308232,residential,20745304.27
950,bandra,mumbai,21,"mall,metro",13.17044636944449,residential,38722367.26
1804,bandra,mumbai,31,"hospital,mall",12.533637562096825,residential,71555211.93
778,bandra,mumbai,32,"school,hospital",5.106370672633469,residential,36890519.4
1472,bandra,mumbai,43,"hospital,mall",21.82720594324239,residential,57273276.04
708,bandra,mumbai,24,"school,hospital",30.0378505965805,residential,37531729.17
2160,bandra,mumbai,34,"park,school",31.9694446622777,residential,82715081.79
1865,bandra,mumbai,30,"school,hospital",15.61035903843855,commercial,74192269.39
1033,bandra,mumbai,30,"mall,metro",34.28618098792889,residential,54401652.52
2088,bandra,mumbai,36,"hospital,mall",29.06705416811417,residential,76099570.63
1492,bandra,mumbai,21,"hospital,mall",31.16500348718269,commercial,57987417.27
1311,bandra,mumbai,44,"park,school",14.155726020158015,residential,51905519.64
1313,bandra,mumbai,27,"hospital,mall",14.847858535931197,residential,47827285.25
1543,bandra,mumbai,47,"hospital,mall",25.38554355080791,commercial,65300732.59
513,bandra,mumbai,31,"mall,metro",22.417692012161233,commercial,19533065.74
556,bandra,mumbai,42,"park,school",26.85635181958113,commercial,21100892.69
2187,bandra,mumbai,47,"school,hospital",16.555863000341816,residential,102596017.72
1443,bandra,mumbai,42,"school,hospital",20.597610456997565,residential,53100895.83
1891,bandra,mumbai,36,"park,school",24.901624287966328,residential,82756500.89
1630,bandra,mumbai,41,"park,school",17.07201161173174,commercial,73558974.27
921,bandra,mumbai,39,"mall,metro",23.465447478541417,commercial,36336325.06
2063,bandra,mumbai,15,"park,school",13.607411506067816,commercial,94615100.47
1719,bandra,mumbai,43,"mall,metro",20.33521990623761,residential,76271664.58
747,bandra,mumbai,36,"school,hospital",29.552703936099928,residential,30707792.0
1671,bandra,mumbai,27,"mall,metro",5.73276163180479,residential,66912741.95
2346,bandra,mumbai,19,"hospital,mall",17.433230329931583,residential,110268877.33
1972,bandra,mumbai,30,"mall,metro",24.681740333353524,residential,88540411.99
836,bandra,mumbai,29,"mall,metro",29.12329568519429,commercial,41809670.28
605,bandra,mumbai,22,"hospital,mall",9.000173166710866,commercial,27850149.1
1699,bandra,mumbai,43,"hospital,mall",29.917075091642452,commercial,90218111.31
1051,bandra,mumbai,45,"hospital,mall",12.77574645395058,residential,51904473.65
1535,bandra,mumbai,48,"hospital,mall",23.80245310945344,commercial,76419432.1
2201,bandra,mumbai,33,"mall,metro",13.15145321246554,commercial,82305735.51
730,bandra,mumbai,29,"hospital,mall",25.818494368971567,residential,28098235.17
663,bandra,mumbai,36,"hospital,mall",17.47322702309468,residential,28819033.47
2120,bandra,mumbai,16,"hospital,mall",19.309391976720708,commercial,91182435.17
1623,bandra,mumbai,41,"mall,metro",19.64688432650751,commercial,80440022.3
2185,bandra,mumbai,39,"park,school",25.06620861868751,commercial,97760299.62
1076,bandra,mumbai,23,"school,hospital",32.20786587760305,residential,55014913.68
743,bandra,mumbai,23,"hospital,mall",10.451870795402964,commercial,35344133.79
1952,bandra,mumbai,44,"park,school",15.125016442216118,commercial,81773863.31
1539,bandra,mumbai,41,"park,school",30.047327447363635,commercial,76236176.13
479,bandra,mumbai,18,"park,school",11.726664971592443,residential,23702087.18
564,bandra,mumbai,30,"mall,metro",30.176865388537944,residential,27960975.49
1377,bandra,mumbai,22,"mall,metro",18.95101950305662,commercial,52700513.08
1910,bandra,mumbai,22,"mall,metro",33.94162319102263,residential,74528590.75
505,bandra,mumbai,39,"hospital,mall",33.24411795623929,residential,26623584.36
711,bandra,mumbai,30,"school,hospital",25.915790074873165,commercial,33173668.43
895,bandra,mumbai,17,"park,school",20.98235735931501,commercial,45047220.46
682,bandra,mumbai,36,"school,hospital",30.48726880998732,commercial,30763174.65
832,bandra,mumbai,38,"hospital,mall",26.21925931118231,commercial,36444446.46
1121,bandra,mumbai,32,"hospital,mall",18.94621314903523,commercial,55162521.64
1720,bandra,mumbai,20,"park,school",31.44893552008316,residential,88289039.43
2303,bandra,mumbai,39,"park,school",5.860999933102687,commercial,106530547.17
1144,bandra,mumbai,37,"park,school",15.21016529492851,commercial,51223628.21
441,bandra,mumbai,27,"school,hospital",12.240681511180398,commercial,19976987.12
2401,bandra,mumbai,30,"hospital,mall",24.37708699222857,commercial,110429605.51
2235,bandra,mumbai,20,"park,school",11.647892014175904,residential,112359689.28
1654,bandra,mumbai,38,"hospital,mall",21.60418865030749,commercial,79311417.76
2142,bandra,mumbai,50,"park,school",15.55431582842505,commercial,115538122.72
1509,bandra,mumbai,29,"school,hospital",26.63852993978209,commercial,62652493.69
889,bandra,mumbai,26,"mall,metro",11.49153919635817,commercial,43891582.78
1532,bandra,mumbai,48,"park,school",34.415318913875396,residential,75133155.99
1613,bandra,mumbai,26,"park,school",5.424451017681915,residential,64672746.17
1523,bandra,mumbai,18,"park,school",25.922521787305833,residential,56075767.43
2410,bandra,mumbai,15,"park,school",19.081908347915306,commercial,91210252.12
1795,bandra,mumbai,18,"park,school",33.231907903043094,commercial,70576790.19
867,bandra,mumbai,40,"hospital,mall",7.222465107669194,residential,44041936.76
1021,bandra,mumbai,34,"school,hospital",34.8175436813066,residential,39497953.21
2104,bandra,mumbai,29,"hospital,mall",18.515433946662625,commercial,98706462.09
1617,bandra,mumbai,42,"park,school",22.058884118726997,residential,83248010.98
806,bandra,mumbai,28,"mall,metro",12.939383758700222,residential,42763638.63
1043,bandra,mumbai,50,"school,hospital",9.695978463294145,commercial,42051228.85
2245,bandra,mumbai,45,"park,school",5.979195661427728,commercial,108677487.6
1558,bandra,mumbai,44,"school,hospital",25.621547602137284,commercial,75802583.08
1210,bandra,mumbai,49,"mall,metro",24.42904170207442,commercial,52819526.68
982,bandra,mumbai,25,"park,school",22.851321119582146,commercial,36614240.28
2198,bandra,mumbai,34,"hospital,mall",33.28028722232122,commercial,84047928.13
2193,bandra,mumbai,17,"hospital,mall",27.036017698568457,commercial,82123361.66
505,bandra,mumbai,16,"park,school",22.287409538082404,residential,19010161.4
2327,bandra,mumbai,43,"park,school",10.444674416693775,commercial,105509319.44
2414,bandra,mumbai,45,"park,school",17.25044280290046,commercial,129011388.12
828,bandra,mumbai,36,"hospital,mall",25.810210219502977,commercial,42591654.04
2040,bandra,mumbai,50,"school,hospital",18.64477725805188,commercial,103314144.8
1433,bandra,mumbai,40,"school,hospital",24.729811594493867,commercial,59926524.04
2092,bandra,mumbai,48,"park,school",23.67901617805134,commercial,77353109.04
2210,bandra,mumbai,28,"park,school",21.47658917255995,commercial,109792423.52
2194,bandra,mumbai,46,"school,hospital",5.866083273249897,residential,113770394.61
1048,bandra,mumbai,15,"hospital,mall",7.796276038445677,residential,43589990.61
2290,bandra,mumbai,24,"hospital,mall",32.97959179802314,commercial,121477843.8
2484,bandra,mumbai,41,"hospital,mall",34.407338978101265,residential,120964364.8
2270,bandra,mumbai,39,"mall,metro",32.65604449794685,residential,104244691.04
685,bandra,mumbai,41,"park,school",33.027451810475604,commercial,28066130.48
410,bandra,mumbai,34,"hospital,mall",30.95781784100728,commercial,16847351.7
2383,bandra,mumbai,50,"hospital,mall",18.660338505995032,commercial,100591746.35
1172,bandra,mumbai,30,"hospital,mall",12.006873381736794,commercial,62882421.62
578,bandra,mumbai,45,"hospital,mall",16.58236257472947,residential,24118306.51
2428,bandra,mumbai,23,"park,school",31.09100940086646,commercial,129574687.25
808,bandra,mumbai,44,"school,hospital",26.673314827119277,commercial,36737432.61
1032,bandra,mumbai,31,"park,school",23.69778201565994,commercial,38542009.54
728,bandra,mumbai,49,"hospital,mall",33.62418777868028,commercial,37369532.39
547,bandra,mumbai,30,"park,school",34.92277768868646,residential,25771505.86
2177,bandra,mumbai,21,"hospital,mall",9.990943601876754,commercial,116709142.22
518,bandra,mumbai,18,"park,school",15.753900269010904,commercial,19076819.79
996,bandra,mumbai,41,"mall,metro",10.09950947204292,residential,40233971.56
1966,bandra,mumbai,30,"hospital,mall",32.384870480706645,residential,92706310.52
1351,bandra,mumbai,31,"hospital,mall",12.65980124477462,residential,59850243.59
2305,bandra,mumbai,49,"mall,metro",7.215857008486189,commercial,120371178.99
1625,bandra,mumbai,42,"park,school",18.705074380033594,commercial,77188957.04
1215,bandra,mumbai,45,"school,hospital",12.116171057827238,commercial,65596299.88
1611,bandra,mumbai,33,"school,hospital",34.33833453730588,commercial,86782083.88
1524,bandra,mumbai,18,"hospital,mall",29.98516699019565,commercial,55086143.4
1342,bandra,mumbai,37,"mall,metro",24.098536340176757,commercial,62976262.1
960,bandra,mumbai,17,"park,school",28.658314520304614,residential,45416127.23
1894,bandra,mumbai,20,"park,school",14.801573771420312,commercial,93151609.21
1119,bandra,mumbai,49,"park,school",20.92557121108355,commercial,44328408.75
1073,bandra,mumbai,45,"park,school",27.396780521511353,commercial,43591120.21
871,bandra,mumbai,19,"mall,metro",27.624544791840066,residential,38698499.51
2027,bandra,mumbai,50,"park,school",7.709086267057499,commercial,108263804.0
457,bandra,mumbai,22,"hospital,mall",16.05756975848117,commercial,18627436.27
1960,bandra,mumbai,38,"school,hospital",25.24509666125966,commercial,99574882.39
502,bandra,mumbai,50,"park,school",32.45767726229478,residential,23670225.49
658,bandra,mumbai,44,"park,school",24.477183388537732,residential,31213724.06
972,bandra,mumbai,17,"park,school",34.87782124265088,residential,35785387.81
798,bandra,mumbai,49,"mall,metro",16.659374934504275,commercial,32100667.67
2116,bandra,mumbai,24,"hospital,mall",24.64765692480392,commercial,98546619.08
2071,bandra,mumbai,32,"school,hospital",25.70841991242691,residential,109562020.18
2216,bandra,mumbai,30,"park,school",7.980638738183909,commercial,97514028.45
1869,bandra,mumbai,32,"mall,metro",34.0462062780916,commercial,69321026.1
775,bandra,mumbai,16,"school,hospital",28.6038377136385,residential,37145623.9
915,bandra,mumbai,28,"school,hospital",29.894535116513975,residential,45901529.31
1284,bandra,mumbai,29,"park,school",28.2310573341446,residential,65015280.5
1535,bandra,mumbai,24,"mall,metro",21.206463705894546,residential,78977761.27
850,bandra,mumbai,16,"mall,metro",5.445809816921265,residential,40714181.93
1726,bandra,mumbai,31,"school,hospital",8.802756311383408,commercial,62626286.7
865,bandra,mumbai,45,"hospital,mall",28.34051117942608,residential,42750008.33
2251,bandra,mumbai,17,"park,school",18.741275662930462,residential,101450536.03
649,bandra,mumbai,40,"hospital,mall",25.58292488186698,commercial,35029490.47
2216,bandra,mumbai,20,"park,school",23.2489227090032,residential,82707397.67
916,bandra,mumbai,50,"park,school",16.427131964555624,commercial,37510463.8
2258,bandra,mumbai,42,"school,hospital",28.792882793049383,residential,101835617.87
1280,bandra,mumbai,29,"hospital,mall",15.167948565055257,commercial,55988811.46
2033,bandra,mumbai,21,"park,school",17.80292018782874,commercial,88410725.26
1933,bandra,mumbai,45,"school,hospital",7.7367436509814596,residential,102767298.06
781,bandra,mumbai,38,"mall,metro",21.691122068460505,commercial,34187320.1
900,bandra,mumbai,42,"school,hospital",34.05195875934423,commercial,39055099.85
1840,bandra,mumbai,47,"mall,metro",9.641905275747842,commercial,69671250.74
1318,bandra,mumbai,37,"park,school",8.446559405909245,commercial,67548748.5
1326,bandra,mumbai,50,"school,hospital",23.26984746659196,commercial,67002759.69
518,bandra,mumbai,34,"park,school",15.530702622109454,residential,20330199.45
986,bandra,mumbai,40,"school,hospital",9.25623962453806,residential,45547066.79
775,bandra,mumbai,28,"hospital,mall",17.594974812935092,commercial,38308259.08
1044,bandra,mumbai,35,"school,hospital",31.5002655355503,residential,44538037.71
1044,andheri,mumbai,18,"school,hospital",13.163085306386568,commercial,40258834.81
2389,andheri,mumbai,41,"park,school",11.467068960132403,residential,87196264.14
1813,andheri,mumbai,33,"hospital,mall",20.808023214444344,commercial,61676067.84
586,andheri,mumbai,18,"school,hospital",11.132693730611953,residential,18217133.24
962,andheri,mumbai,33,"park,school",8.599530311166474,commercial,37227718.94
2163,andheri,mumbai,39,"mall,metro",20.007870396686393,commercial,65884389.99
695,andheri,mumbai,17,"hospital,mall",5.562246097569371,residential,23323502.53
1682,andheri,mumbai,40,"hospital,mall",13.685456167572744,commercial,60653976.72
485,andheri,mumbai,25,"hospital,mall",29.960777392151215,commercial,20140495.9
760,andheri,mumbai,21,"mall,metro",18.070295808212,commercial,25926613.33
722,andheri,mumbai,34,"park,school",11.64716176682754,residential,24216409.77
712,andheri,mumbai,22,"mall,metro",32.17768194740151,commercial,25024497.38
1838,andheri,mumbai,24,"mall,metro",8.084135833332885,commercial,70180919.15
1208,andheri,mumbai,24,"school,hospital",10.314383868416874,commercial,36758215.47
2300,andheri,mumbai,43,"park,school",30.927406244942485,commercial,88693155.57
1018,andheri,mumbai,45,"hospital,mall",23.94155360076288,commercial,34771499.66
630,andheri,mumbai,19,"park,school",18.852274593393624,residential,20744130.4
633,andheri,mumbai,33,"school,hospital",24.339994087275123,residential,20991752.61
2476,andheri,mumbai,50,"school,hospital",18.492011109527187,residential,82655700.57
1716,andheri,mumbai,47,"mall,metro",33.73167076599755,commercial,62582660.16
823,andheri,mumbai,36,"school,hospital",20.136470045028723,residential,32387959.6
560,andheri,mumbai,43,"hospital,mall",20.722056595105236,residential,17622310.79
1890,andheri,mumbai,33,"hospital,mall",17.26308191741961,commercial,62785663.45
614,andheri,mumbai,36,"school,hospital",14.890722653531864,commercial,23976194.7
1563,andheri,mumbai,24,"park,school",7.445059623436519,residential,49278171.77
1832,andheri,mumbai,40,"mall,metro",22.851236844547245,residential,59252823.6
1668,andheri,mumbai,36,"mall,metro",25.103491999841676,residential,59755948.18
2134,andheri,mumbai,16,"park,school",14.265982101916428,residential,74943602.02
1799,andheri,mumbai,46,"mall,metro",11.796291396016615,residential,74239972.99
1034,andheri,mumbai,21,"school,hospital",24.85787712114253,residential,30069041.76
1943,andheri,mumbai,26,"mall,metro",26.635489934162813,residential,58599983.61
2082,andheri,mumbai,30,"hospital,mall",23.317862663774473,commercial,68914599.32
1358,andheri,mumbai,34,"hospital,mall",32.11923014412375,residential,48176619.98
1906,andheri,mumbai,43,"hospital,mall",28.08315655926728,commercial,71467939.32
2459,andheri,mumbai,25,"mall,metro",29.03777672454643,residential,87010330.68
1424,andheri,mumbai,45,"park,school",21.636222362732937,residential,40912256.56
910,andheri,mumbai,25,"park,school",18.479576611214775,residential,29111702.8
2191,andheri,mumbai,29,"hospital,mall",31.538893211540223,residential,64161222.04
2099,andheri,mumbai,47,"park,school",12.07334221590298,residential,60337006.89
1935,andheri,mumbai,35,"school,hospital",30.17528862834817,commercial,60262754.97
998,andheri,mumbai,33,"hospital,mall",25.88215965727951,residential,29866541.44
2321,andheri,mumbai,15,"school,hospital",5.570116547329111,residential,79564856.3
1012,andheri,mumbai,48,"hospital,mall",8.335605809727152,commercial,36111458.55
1373,andheri,mumbai,18,"mall,metro",17.59476631260329,commercial,44232728.26
657,andheri,mumbai,46,"school,hospital",23.958648260394273,residential,19415670.92
988,andheri,mumbai,15,"park,school",12.216927164196306,commercial,31692874.13
1167,andheri,mumbai,20,"park,school",7.030379687265381,residential,43530498.33
1999,andheri,mumbai,17,"hospital,mall",34.43118267654681,commercial,80413053.64
466,andheri,mumbai,19,"park,school",12.233777731569338,residential,15377680.45
1761,andheri,mumbai,37,"park,school",29.405265966682645,residential,52597080.03
2303,andheri,mumbai,45,"mall,metro",29.34493045542819,residential,96107572.19
2274,andheri,mumbai,27,"school,hospital",28.73327639687132,residential,64849415.94
1692,andheri,mumbai,47,"hospital,mall",34.6736810688837,commercial,69485691.77
1437,andheri,mumbai,27,"park,school",15.709225281060904,residential,40972736.68
1759,andheri,mumbai,38,"hospital,mall",31.68459551036844,commercial,55980232.14
1983,andheri,mumbai,26,"hospital,mall",25.762054733378452,commercial,64936334.88
1492,andheri,mumbai,42,"school,hospital",17.918214560103408,residential,58510381.25
1603,andheri,mumbai,20,"park,school",24.8275766437441,commercial,52092626.87
2226,andheri,mumbai,42,"mall,metro",25.692944253364587,commercial,81108100.41
2231,andheri,mumbai,37,"hospital,mall",13.236660802245728,residential,63790921.16
707,andheri,mumbai,40,"park,school",20.392580583936564,residential,26439378.13
527,andheri,mumbai,43,"school,hospital",8.786900729067629,residential,15809426.92
1900,andheri,mumbai,17,"mall,metro",25.371861707401848,commercial,62833205.5
1923,andheri,mumbai,19,"mall,metro",20.883796446088688,commercial,65795733.54
1687,andheri,mumbai,30,"school,hospital",5.777400225924296,residential,62577325.48
2444,andheri,mumbai,50,"school,hospital",12.853300297624877,commercial,86147172.3
2227,andheri,mumbai,33,"hospital,mall",11.005350229733606,residential,69045876.72
703,andheri,mumbai,43,"school,hospital",29.315396550728956,commercial,24133004.11
1823,andheri,mumbai,50,"park,school",31.73995047061667,residential,69152892.3
1113,andheri,mumbai,47,"mall,metro",8.640873652353706,residential,43531377.05
968,andheri,mumbai,46,"school,hospital",15.826895733331463,commercial,30312248.77
2314,andheri,mumbai,50,"mall,metro",23.358450878615628,residential,90827425.28
669,andheri,mumbai,45,"hospital,mall",28.07493651124094,residential,21628816.86
913,andheri,mumbai,19,"hospital,mall",18.974995988631765,commercial,37992957.73
925,andheri,mumbai,50,"mall,metro",28.0334491207297,residential,37269583.96
2172,andheri,mumbai,18,"school,hospital",20.543063987720487,commercial,76107082.02
1074,andheri,mumbai,29,"park,school",33.42449410428942,commercial,32507335.2
723,andheri,mumbai,50,"park,school",8.75510885380708,commercial,22780626.94
782,andheri,mumbai,25,"mall,metro",10.136018691673767,commercial,27398170.79
568,andheri,mumbai,16,"school,hospital",6.363854098740259,commercial,22466278.8
1263,andheri,mumbai,41,"school,hospital",19.94114180408348,commercial,48925369.05
1637,andheri,mumbai,40,"park,school",18.606323988655134,residential,56904129.34
1047,andheri,mumbai,45,"hospital,mall",11.12069040690196,residential,35759737.42
1680,andheri,mumbai,35,"park,school",34.26122383744641,residential,67302129.01
1917,andheri,mumbai,21,"park,school",12.252135828094012,residential,67497036.84
1495,andheri,mumbai,24,"school,hospital",6.5181587540087085,commercial,51270044.53
2112,andheri,mumbai,25,"park,school",33.01254605748214,commercial,66476855.65
1177,andheri,mumbai,46,"hospital,mall",19.962791251929623,commercial,45530714.02
2437,andheri,mumbai,40,"hospital,mall",34.00059891657426,residential,69026728.94
1845,andheri,mumbai,33,"hospital,mall",22.925563130305587,commercial,52916839.57
1570,andheri,mumbai,21,"hospital,mall",9.01804831976944,commercial,55756462.67
1898,andheri,mumbai,38,"school,hospital",17.017448630442697,residential,73441201.94
1884,andheri,mumbai,19,"hospital,mall",20.12766587369614,commercial,67343807.91
886,andheri,mumbai,21,"hospital,mall",16.1959500897446,commercial,26403940.7
1897,andheri,mumbai,27,"hospital,mall",20.002337107119317,residential,73166365.05
559,andheri,mumbai,36,"hospital,mall",20.579981309992498,residential,16724446.66
972,andheri,mumbai,35,"mall,metro",16.78863763599449,commercial,31678959.25
1777,andheri,mumbai,47,"hospital,mall",26.262194193063134,commercial,62376982.23
2345,andheri,mumbai,38,"park,school",25.214191774190496,commercial,92441034.2
1660,andheri,mumbai,16,"hospital,mall",12.96591310957164,residential,64996581.88
610,andheri,mumbai,25,"hospital,mall",9.433271249009955,residential,22063288.79
529,andheri,mumbai,22,"mall,metro",5.568121025198377,commercial,19052455.43
2115,andheri,mumbai,28,"hospital,mall",20.054585138329628,commercial,63703879.55
655,andheri,mumbai,48,"mall,metro",21.82660318725918,commercial,24811958.88
1943,andheri,mumbai,26,"hospital,mall",32.36372482772031,commercial,62938698.19
1851,andheri,mumbai,31,"hospital,mall",10.767925074101402,residential,69342458.29
1542,andheri,mumbai,29,"park,school",28.135228072629303,residential,55223974.62
2402,andheri,mumbai,37,"park,school",13.633681264938584,commercial,77917446.17
2016,andheri,mumbai,24,"park,school",6.261994604981766,residential,79545885.43
1818,andheri,mumbai,31,"hospital,mall",11.419604242310228,commercial,74421893.15
1512,andheri,mumbai,30,"mall,metro",6.522962898723921,residential,45241793.91
1353,andheri,mumbai,41,"park,school",26.520741687507307,residential,38878286.55
963,andheri,mumbai,50,"mall,metro",17.207223546406503,commercial,27033856.26
2355,andheri,mumbai,33,"park,school",13.562460239059757,residential,87388260.67
766,andheri,mumbai,29,"school,hospital",32.39689177009558,residential,28443251.59
2111,andheri,mumbai,26,"school,hospital",34.9151540926553,commercial,85181867.94
2429,andheri,mumbai,33,"school,hospital",5.278015054402994,residential,74347713.36
1772,andheri,mumbai,49,"hospital,mall",31.677798913097497,residential,56675405.47
2465,andheri,mumbai,27,"school,hospital",14.920522904953566,commercial,85171396.74
1453,andheri,mumbai,15,"park,school",28.723029932757672,residential,55301724.04
1118,andheri,mumbai,40,"hospital,mall",20.45841976879388,residential,40866659.83
2041,andheri,mumbai,26,"mall,metro",19.323622954696788,residential,76271316.76
427,andheri,mumbai,30,"hospital,mall",27.61269955344371,commercial,13514974.39
1636,andheri,mumbai,15,"park,school",24.61050101210596,residential,59148681.05
654,andheri,mumbai,44,"park,school",9.791504756826894,commercial,24426249.67
880,andheri,mumbai,33,"park,school",23.43876344431547,residential,32508923.53
947,andheri,mumbai,44,"park,school",17.47536846293674,commercial,32855735.63
1294,andheri,mumbai,20,"hospital,mall",20.8451937221958,commercial,50033848.88
719,andheri,mumbai,22,"school,hospital",29.863221618752757,residential,29364985.22
1013,andheri,mumbai,48,"hospital,mall",8.487200665539927,residential,30697465.95
2402,andheri,mumbai,47,"hospital,mall",29.260762495317117,commercial,70314185.62
940,andheri,mumbai,44,"school,hospital",21.76391596996299,commercial,33074341.62
489,andheri,mumbai,15,"mall,metro",22.349337951771066,residential,16402664.87
2135,andheri,mumbai,19,"school,hospital",33.03748396654839,residential,70077967.82
2333,andheri,mumbai,41,"mall,metro",28.06916187750448,commercial,66360524.36
1933,andheri,mumbai,39,"hospital,mall",31.088608559321255,commercial,80992685.27
1938,andheri,mumbai,49,"mall,metro",24.606022952561062,commercial,56441342.8
885,andheri,mumbai,49,"hospital,mall",20.86527618632028,residential,26991288.26
414,andheri,mumbai,34,"hospital,mall",25.20499573329701,commercial,15974815.89
1953,andheri,mumbai,30,"hospital,mall",15.384792049628803,commercial,77196321.08
1172,andheri,mumbai,22,"school,hospital",29.284345506175832,commercial,48197029.21
464,andheri,mumbai,19,"school,hospital",22.81832442438072,commercial,14555368.25
599,andheri,mumbai,17,"hospital,mall",18.16888434462382,residential,18824340.59
631,andheri,mumbai,33,"mall,metro",29.473587702899504,commercial,18905957.67
1713,andheri,mumbai,24,"mall,metro",17.40680619340411,commercial,53645432.56
649,andheri,mumbai,26,"hospital,mall",21.675519979511375,residential,23230340.82
1810,andheri,mumbai,39,"park,school",25.889252219272695,commercial,74539799.63
1011,andheri,mumbai,26,"hospital,mall",12.229045670332225,residential,32552621.75
1631,andheri,mumbai,24,"hospital,mall",32.442235214477165,commercial,65249096.64
2106,andheri,mumbai,23,"hospital,mall",12.285755482687572,residential,75399042.78
1752,andheri,mumbai,43,"park,school",7.77391989580591,residential,64918401.13
611,andheri,mumbai,17,"school,hospital",10.64489881798266,residential,19404420.42
2363,andheri,mumbai,36,"park,school",33.7105928158002,residential,73074468.83
1267,andheri,mumbai,22,"hospital,mall",32.43323890326764,residential,52099339.88
2024,andheri,mumbai,50,"park,school",28.26541646191311,commercial,82603023.36
2309,andheri,mumbai,37,"park,school",12.846848821560576,commercial,81902774.02
2308,andheri,mumbai,45,"park,school",32.42991496692467,commercial,67810229.18
1681,andheri,mumbai,29,"mall,metro",5.486597030037814,commercial,56809432.63
1609,andheri,mumbai,36,"mall,metro",16.395193242234626,residential,48485219.43
2445,andheri,mumbai,36,"park,school",27.900818769989595,commercial,87308493.89
2409,andheri,mumbai,37,"mall,metro",9.19875585741852,commercial,82993918.8
1153,andheri,mumbai,49,"school,hospital",20.718332462122383,residential,47084589.95
598,andheri,mumbai,41,"mall,metro",30.276341504760456,residential,23143044.8
678,andheri,mumbai,15,"mall,metro",20.171987590791954,commercial,25696453.5
647,andheri,mumbai,45,"hospital,mall",5.471953006076592,commercial,23712351.57
448,andheri,mumbai,32,"park,school",5.514277928072816,commercial,12648906.4
1134,andheri,mumbai,21,"mall,metro",12.229064969405243,commercial,33450992.82
1851,andheri,mumbai,40,"school,hospital",16.191547503910463,commercial,58755453.23
